dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.999663,1.290000,0.000199,0.019935,0.996747,49.837338,0.001163
0.020000,0.999788,1.290000,0.000325,0.006284,-0.682540,-83.964354,0.000730
0.020000,1.000290,1.290000,0.000826,0.025061,0.938849,81.069453,6.283050
0.020000,1.003057,1.289998,0.003594,0.138386,5.666259,236.370515,6.281755
0.020000,1.006746,1.289989,0.007283,0.184427,2.302021,-168.211887,6.280034
0.020000,1.011354,1.289970,0.011890,0.230391,2.298214,-0.190388,6.277893
0.020000,1.016879,1.289934,0.017416,0.276260,2.293445,-0.238408,6.275339
0.020000,1.023319,1.289874,0.023856,0.322014,2.287689,-0.287805,6.272378
0.020000,1.030671,1.289782,0.031208,0.367633,2.280942,-0.337343,6.269022
0.020000,1.038932,1.289649,0.039470,0.413096,2.273187,-0.387788,6.265279
0.020000,1.048097,1.289466,0.048638,0.458385,2.264420,-0.438354,6.261163
0.020000,1.058164,1.289222,0.058708,0.503477,2.254595,-0.491254,6.256686
0.020000,1.069127,1.288905,0.069675,0.548352,2.243768,-0.541308,6.251865
0.020000,1.080979,1.288503,0.081534,0.592990,2.231882,-0.594331,6.246714
0.020000,1.093717,1.288003,0.094282,0.637367,2.218892,-0.649470,6.241253
0.020000,1.107333,1.287393,0.107911,0.681466,2.204937,-0.697770,6.235500
0.020000,1.121819,1.286657,0.122416,0.725263,2.189826,-0.755564,6.229476
0.020000,1.137169,1.285784,0.137791,0.768739,2.173832,-0.799674,6.223203
0.020000,1.153374,1.284757,0.154029,0.811872,2.156649,-0.859154,6.216706
0.020000,1.170425,1.283565,0.171121,0.854644,2.138592,-0.902868,6.210008
0.020000,1.188313,1.282191,0.189062,0.897034,2.119480,-0.955575,6.203136
0.020000,1.207028,1.280624,0.207843,0.939024,2.099507,-0.998652,6.196118
0.020000,1.226560,1.278848,0.227455,0.980596,2.078594,-1.045652,6.188983
0.020000,1.246897,1.276852,0.247889,1.021732,2.056802,-1.089630,6.181761
0.020000,1.268028,1.274623,0.269137,1.062416,2.034213,-1.129410,6.174482
0.020000,1.289941,1.272150,0.291190,1.102633,2.010857,-1.167841,6.167179
0.020000,1.312625,1.269423,0.314038,1.142372,1.986935,-1.196089,6.159886
0.020000,1.336068,1.266431,0.337670,1.181615,1.962175,-1.238008,6.152635
0.020000,1.360255,1.263166,0.362077,1.220355,1.936968,-1.260343,6.145463
0.020000,1.385176,1.259621,0.387248,1.258574,1.910961,-1.300331,6.138404
0.020000,1.410817,1.255792,0.413174,1.296269,1.884768,-1.309676,6.131495
0.020000,1.437165,1.251672,0.439842,1.333426,1.857834,-1.346686,6.124774
0.020000,1.464209,1.247261,0.467243,1.370039,1.830643,-1.359522,6.118277
0.020000,1.491934,1.242557,0.495365,1.406094,1.802774,-1.393460,6.112043
0.020000,1.520330,1.237561,0.524197,1.441587,1.774659,-1.405780,6.106111
0.020000,1.549384,1.232277,0.553727,1.476509,1.746097,-1.428075,6.100520
0.020000,1.579083,1.226710,0.583944,1.510848,1.716918,-1.458962,6.095311
0.020000,1.609417,1.220866,0.614836,1.544594,1.687308,-1.480492,6.090524
0.020000,1.640375,1.214756,0.646391,1.577735,1.657042,-1.513307,6.086201
0.020000,1.671945,1.208391,0.678596,1.610258,1.626156,-1.544284,6.082385
0.020000,1.704117,1.201786,0.711439,1.642147,1.594465,-1.584542,6.079119
0.020000,1.736880,1.194958,0.744906,1.673384,1.561815,-1.632537,6.076449
0.020000,1.770226,1.187927,0.778985,1.703948,1.528212,-1.680141,6.074421
0.020000,1.804144,1.180716,0.813662,1.733815,1.493340,-1.743600,6.073082
0.020000,1.838625,1.173349,0.848921,1.762956,1.457068,-1.813616,6.072483
0.020000,1.873660,1.165857,0.884747,1.791341,1.419244,-1.891168,6.072677
0.020000,1.909239,1.158272,0.921126,1.818933,1.379588,-1.982807,6.073717
0.020000,1.945353,1.150628,0.958040,1.845692,1.337958,-2.081481,6.075661
0.020000,1.981992,1.142966,0.995471,1.871572,1.294031,-2.196365,6.078570
0.020000,2.019146,1.135329,1.033402,1.896525,1.247651,-2.318998,6.082508
0.020000,2.056803,1.127764,1.071812,1.920500,1.198729,-2.446108,6.087542
0.020000,2.094953,1.120323,1.110681,1.943436,1.146782,-2.597353,6.093744
0.020000,2.133582,1.113061,1.149986,1.965276,1.092017,-2.738252,6.101189
0.020000,2.172675,1.106039,1.189705,1.985960,1.034198,-2.890947,6.109957
0.020000,2.212218,1.099323,1.229814,2.005431,0.973556,-3.032095,6.120131
0.020000,2.252190,1.092981,1.270287,2.023633,0.910100,-3.172782,6.131800
0.020000,2.292573,1.087089,1.311097,2.040521,0.844381,-3.285962,6.145054
0.020000,2.333343,1.081726,1.352218,2.056064,0.777151,-3.361492,6.159985
0.020000,2.374475,1.076975,1.393623,2.070254,0.709507,-3.382224,6.176687
0.020000,2.415940,1.072925,1.435286,2.083109,0.642758,-3.337423,6.195251
0.020000,2.457707,1.069667,1.477179,2.094692,0.579142,-3.180815,6.215766
0.020000,2.499742,1.067298,1.519282,2.105118,0.521295,-2.892357,6.238310
0.020000,2.542011,1.065914,1.561573,2.114566,0.472406,-2.444429,6.262953
0.020000,2.584476,1.065616,1.604039,2.123299,0.436670,-1.786831,0.006556
0.020000,2.627100,1.066506,1.646672,2.131672,0.418634,-0.901769,0.035517
0.020000,2.669847,1.068684,1.689475,2.140140,0.423390,0.237786,0.066642
0.020000,2.712684,1.072252,1.732460,2.149260,0.456022,1.631596,0.099887
0.020000,2.755581,1.077310,1.775654,2.159695,0.521756,3.286679,0.135161
0.020000,2.798513,1.083957,1.819098,2.172165,0.623490,5.086711,0.172323
0.020000,2.841461,1.092291,1.862847,2.187445,0.764015,7.026281,0.211181
0.020000,2.884412,1.102404,1.906972,2.206288,0.942115,8.905004,0.251488
0.020000,2.927358,1.114391,1.951560,2.229381,1.154685,10.628487,0.292951
0.020000,2.970295,1.128338,1.996706,2.257283,1.395060,12.018721,0.335239
0.020000,3.013220,1.144331,2.042513,2.290350,1.653382,12.916107,0.377996
0.020000,3.056126,1.162446,2.089087,2.328709,1.917940,13.227895,0.420857
0.020000,3.099007,1.182752,2.136532,2.372261,2.177582,12.982130,0.463464
0.020000,3.141706,1.205229,2.184786,2.412675,2.020738,-7.842231,0.505346
0.020000,3.183852,1.229685,2.233514,2.436400,1.186225,-41.725630,0.545881
0.020000,3.227929,1.257135,2.285440,2.596305,7.995278,340.452659,0.565424
0.020000,3.273428,1.286571,2.339630,2.709514,5.660417,-116.743078,0.583185
0.020000,3.317613,1.316299,2.392885,2.662751,-2.338157,-399.928701,0.601422
0.020000,3.360477,1.346303,2.445206,2.616074,-2.333825,0.216634,0.620128
0.020000,3.402012,1.376565,2.496597,2.569515,-2.327949,0.293807,0.639296
0.020000,3.442214,1.407065,2.547059,2.523115,-2.319985,0.398158,0.658913
0.020000,3.481078,1.437784,2.596598,2.476929,-2.309327,0.532894,0.678967
0.020000,3.518603,1.468700,2.645217,2.430990,-2.296959,0.618423,0.699439
