dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,1.000000,0.000199,0.019935,0.996747,49.837338,0.001163
0.020000,1.000000,1.000000,0.000997,0.059805,1.993494,49.837338,0.000730
0.020000,1.000250,1.000000,0.002592,0.099675,1.993494,-0.000000,6.283050
0.020000,1.002642,0.999998,0.004984,0.139545,1.993494,0.000000,6.281755
0.020000,1.005832,0.999991,0.008173,0.179414,1.993494,0.000000,6.280034
0.020000,1.009819,0.999974,0.012160,0.219284,1.993494,0.000000,6.277893
0.020000,1.014603,0.999943,0.016945,0.259154,1.993494,0.000000,6.275339
0.020000,1.020185,0.999890,0.022526,0.299024,1.993494,0.000000,6.272378
0.020000,1.026563,0.999811,0.028906,0.338894,1.993494,-0.000000,6.269022
0.020000,1.033739,0.999696,0.036082,0.378764,1.993494,0.000000,6.265279
0.020000,1.041711,0.999536,0.044056,0.418634,1.993494,0.000000,6.261163
0.020000,1.050480,0.999324,0.052828,0.458504,1.993494,-0.000000,6.256686
0.020000,1.060045,0.999047,0.062396,0.498373,1.993494,0.000000,6.251865
0.020000,1.070405,0.998696,0.072763,0.538243,1.993494,-0.000000,6.246714
0.020000,1.081560,0.998258,0.083926,0.578113,1.993494,0.000000,6.241253
0.020000,1.093509,0.997722,0.095887,0.617983,1.993494,-0.000000,6.235500
0.020000,1.106251,0.997076,0.108645,0.657853,1.993494,0.000000,6.229476
0.020000,1.119785,0.996305,0.122201,0.697723,1.993494,-0.000000,6.223203
0.020000,1.134109,0.995398,0.136554,0.737593,1.993494,0.000000,6.216706
0.020000,1.149223,0.994341,0.151705,0.777462,1.993494,0.000000,6.210008
0.020000,1.165124,0.993120,0.167653,0.817332,1.993494,-0.000000,6.203136
0.020000,1.181811,0.991722,0.184398,0.857202,1.993494,0.000000,6.196118
0.020000,1.199282,0.990134,0.201941,0.897072,1.993494,0.000000,6.188983
0.020000,1.217534,0.988343,0.220281,0.936942,1.993494,0.000000,6.181761
0.020000,1.236566,0.986335,0.239419,0.976812,1.993494,-0.000000,6.174482
0.020000,1.256375,0.984100,0.259354,1.016682,1.993494,-0.000000,6.167179
0.020000,1.276959,0.981624,0.280086,1.056552,1.993494,0.000000,6.159886
0.020000,1.298315,0.978898,0.301616,1.096421,1.993494,0.000000,6.152635
0.020000,1.320442,0.975912,0.323943,1.136291,1.993494,0.000000,6.145463
0.020000,1.343336,0.972656,0.347067,1.176161,1.993494,0.000000,6.138404
0.020000,1.366995,0.969122,0.370989,1.216031,1.993494,0.000000,6.131495
0.020000,1.391418,0.965303,0.395708,1.255901,1.993494,0.000000,6.124774
0.020000,1.416602,0.961195,0.421225,1.295771,1.993494,0.000000,6.118277
0.020000,1.442545,0.956794,0.447539,1.335641,1.993494,-0.000000,6.112043
0.020000,1.469246,0.952096,0.474651,1.375511,1.993494,0.000000,6.106111
0.020000,1.496705,0.947102,0.502560,1.415380,1.993494,-0.000000,6.100520
0.020000,1.524920,0.941813,0.531266,1.455250,1.993494,-0.000000,6.095311
0.020000,1.553891,0.936232,0.560770,1.495120,1.993494,0.000000,6.090524
0.020000,1.583618,0.930364,0.591071,1.534990,1.993494,0.000000,6.086201
0.020000,1.614103,0.924218,0.622169,1.574860,1.993494,0.000000,6.082385
0.020000,1.645347,0.917803,0.654065,1.614730,1.993494,-0.000000,6.079119
0.020000,1.677353,0.911133,0.686759,1.654600,1.993494,-0.000000,6.076449
0.020000,1.710123,0.904224,0.720249,1.694470,1.993494,0.000000,6.074421
0.020000,1.743662,0.897093,0.754537,1.734339,1.993494,-0.000000,6.073082
0.020000,1.777973,0.889763,0.789623,1.774209,1.993494,0.000000,6.072483
0.020000,1.813063,0.882259,0.825506,1.814079,1.993494,0.000000,6.072677
0.020000,1.848937,0.874611,0.862186,1.853949,1.993494,-0.000000,6.073717
0.020000,1.885602,0.866850,0.899664,1.893819,1.993494,0.000000,6.075661
0.020000,1.923067,0.859016,0.937939,1.933689,1.993494,0.000000,6.078570
0.020000,1.961339,0.851149,0.977011,1.973559,1.993494,-0.000000,6.082508
0.020000,2.000428,0.843297,1.016881,2.013428,1.993494,0.000000,6.087542
0.020000,2.040343,0.835511,1.057548,2.053298,1.993494,0.000000,6.093744
0.020000,2.081094,0.827851,1.099013,2.093168,1.993494,-0.000000,6.101189
0.020000,2.122690,0.820380,1.141275,2.133038,1.993494,0.000000,6.109957
0.020000,2.165141,0.813169,1.184335,2.172908,1.993494,-0.000000,6.120131
0.020000,2.208456,0.806298,1.228191,2.212778,1.993494,0.000000,6.131800
0.020000,2.252642,0.799851,1.272846,2.252648,1.993494,0.000000,6.145054
0.020000,2.297705,0.793924,1.318297,2.292518,1.993494,-0.000000,6.159985
0.020000,2.343649,0.788618,1.364546,2.332387,1.993494,0.000000,6.176687
0.020000,2.390472,0.784045,1.411593,2.372257,1.993494,0.000000,6.195251
0.020000,2.438170,0.780326,1.459437,2.412127,1.993494,-0.000000,6.215766
0.020000,2.486733,0.777590,1.508078,2.451997,1.993494,0.000000,6.238310
0.020000,2.536144,0.775973,1.557516,2.491867,1.993494,-0.000000,6.262953
0.020000,2.586377,0.775623,1.607753,2.531737,1.993494,0.000000,0.006556
0.020000,2.637398,0.776689,1.658786,2.571607,1.993494,0.000000,0.035517
0.020000,2.689159,0.779328,1.710617,2.611477,1.993494,-0.000000,0.066642
0.020000,2.741603,0.783698,1.763245,2.651346,1.993494,0.000000,0.099887
0.020000,2.794658,0.789955,1.816671,2.691216,1.993494,-0.000000,0.135161
0.020000,2.848240,0.798253,1.870894,2.731086,1.993494,0.000000,0.172323
0.020000,2.902249,0.808733,1.925914,2.770956,1.993494,0.000000,0.211181
0.020000,2.956577,0.821527,1.981732,2.810826,1.993494,0.000000,0.251488
0.020000,3.011104,0.836746,2.038347,2.850696,1.993494,-0.000000,0.292951
0.020000,3.065704,0.854482,2.095760,2.890566,1.993494,0.000000,0.335239
0.020000,3.120247,0.874804,2.153970,2.930435,1.993494,-0.000000,0.377996
0.020000,3.174604,0.897752,2.212977,2.970305,1.993494,0.000000,0.420857
0.020000,3.228651,0.923345,2.272782,3.010175,1.993494,0.000000,0.463464
0.020000,3.282098,0.951477,2.333185,3.030110,0.996747,-49.837338,0.505346
0.020000,3.334412,0.981830,2.393671,3.018536,-0.578690,-78.771855,0.545881
0.020000,3.383303,1.012271,2.453727,2.987028,-1.575437,-49.837338,0.565424
0.020000,3.433126,1.044505,2.513069,2.947158,-1.993494,-20.902822,0.583185
0.020000,3.481699,1.077185,2.571613,2.907288,-1.993494,-0.000000,0.601422
0.020000,3.529007,1.110300,2.629360,2.867418,-1.993494,0.000000,0.620128
0.020000,3.575035,1.143835,2.686310,2.827548,-1.993494,0.000000,0.639296
0.020000,3.619769,1.177774,2.742462,2.787678,-1.993494,-0.000000,0.658913
0.020000,3.663195,1.212100,2.797817,2.747808,-1.993494,0.000000,0.678967
0.020000,3.705301,1.246791,2.852375,2.707939,-1.993494,-0.000000,0.699439
0.020000,3.746077,1.281825,2.906135,2.668069,-1.993494,0.000000,0.720308
0.020000,3.785511,1.317178,2.959097,2.628199,-1.993494,0.000000,0.741550
0.020000,3.823598,1.352823,3.011263,2.588329,-1.993494,0.000000,0.763136
0.020000,3.860330,1.388729,3.062630,2.548459,-1.993494,-0.000000,0.785036
0.020000,3.895704,1.424867,3.113201,2.508589,-1.993494,0.000000,0.807215
0.020000,3.929719,1.461203,3.162974,2.468719,-1.993494,-0.000000,0.829633
0.020000,3.962375,1.497700,3.211950,2.428849,-1.993494,0.000000,0.852252
0.020000,3.993676,1.534324,3.260128,2.388980,-1.993494,-0.000000,0.875026
0.020000,4.023629,1.571035,3.307509,2.349110,-1.993494,0.000000,0.897911
0.020000,4.052243,1.607793,3.354092,2.309240,-1.993494,0.000000,0.920859
0.020000,4.079530,1.644559,3.399878,2.269370,-1.993494,-0.000000,0.943821
0.020000,4.105506,1.681289,3.444867,2.229500,-1.993494,0.000000,0.966749
0.020000,4.130189,1.717944,3.489059,2.189630,-1.993494,0.000000,0.989593
0.020000,4.153600,1.754479,3.532452,2.149760,-1.993494,-0.000000,1.012305
0.020000,4.175764,1.790854,3.575049,2.109890,-1.993494,0.000000,1.034837
0.020000,4.196707,1.827027,3.616848,2.070021,-1.993494,0.000000,1.057144
0.020000,4.216459,1.862956,3.657850,2.030151,-1.993494,-0.000000,1.079182
0.020000,4.235052,1.898603,3.698054,1.990281,-1.993494,0.000000,1.100910
0.020000,4.252518,1.933927,3.737461,1.950411,-1.993494,-0.000000,1.122289
0.020000,4.268893,1.968891,3.776070,1.910541,-1.993494,0.000000,1.143285
0.020000,4.284215,2.003459,3.813883,1.870671,-1.993494,0.000000,1.163865
0.020000,4.298522,2.037596,3.850897,1.830801,-1.993494,-0.000000,1.184002
0.020000,4.311853,2.071270,3.887115,1.790932,-1.993494,0.000000,1.203671
0.020000,4.324249,2.104449,3.922535,1.751062,-1.993494,0.000000,1.222851
0.020000,4.335749,2.137106,3.957157,1.711192,-1.993494,-0.000000,1.241524
0.020000,4.346395,2.169211,3.990982,1.671322,-1.993494,0.000000,1.259676
0.020000,4.356228,2.200741,4.024010,1.631452,-1.993494,-0.000000,1.277295
0.020000,4.365288,2.231671,4.056240,1.591582,-1.993494,-0.000000,1.294374
0.020000,4.373616,2.261980,4.087673,1.551712,-1.993494,0.000000,1.310907
0.020000,4.381251,2.291649,4.118309,1.511842,-1.993494,-0.000000,1.326891
0.020000,4.388233,2.320658,4.148147,1.471973,-1.993494,0.000000,1.342325
0.020000,4.394599,2.348992,4.177188,1.432103,-1.993494,-0.000000,1.357210
0.020000,4.400387,2.376636,4.205431,1.392233,-1.993494,0.000000,1.371550
0.020000,4.405634,2.403576,4.232877,1.352363,-1.993494,-0.000000,1.385350
0.020000,4.410373,2.429799,4.259526,1.312493,-1.993494,0.000000,1.398614
0.020000,4.414640,2.455296,4.285377,1.272623,-1.993494,0.000000,1.411350
0.020000,4.418466,2.480055,4.310431,1.232753,-1.993494,0.000000,1.423565
0.020000,4.421884,2.504070,4.334687,1.192883,-1.993494,0.000000,1.435269
0.020000,4.424923,2.527331,4.358146,1.153014,-1.993494,0.000000,1.446470
0.020000,4.427612,2.549832,4.380807,1.113144,-1.993494,0.000000,1.457178
0.020000,4.429980,2.571568,4.402672,1.073274,-1.993494,0.000000,1.467403
0.020000,4.432052,2.592532,4.423738,1.033404,-1.993494,0.000000,1.477154
0.020000,4.433853,2.612721,4.444008,0.993534,-1.993494,0.000000,1.486442
0.020000,4.435408,2.632131,4.463480,0.953664,-1.993494,-0.000000,1.495277
0.020000,4.436739,2.650758,4.482154,0.913794,-1.993494,0.000000,1.503667
0.020000,4.437867,2.668600,4.500032,0.873924,-1.993494,-0.000000,1.511624
0.020000,4.438813,2.685653,4.517111,0.834055,-1.993494,0.000000,1.519157
0.020000,4.439595,2.701917,4.533394,0.794185,-1.993494,-0.000000,1.526274
0.020000,4.440232,2.717389,4.548879,0.754315,-1.993494,0.000000,1.532985
0.020000,4.440741,2.732067,4.563566,0.714445,-1.993494,0.000000,1.539298
0.020000,4.441137,2.745952,4.577457,0.674575,-1.993494,0.000000,1.545221
0.020000,4.441436,2.759041,4.590549,0.634705,-1.993494,-0.000000,1.550763
0.020000,4.441650,2.771335,4.602845,0.594835,-1.993494,0.000000,1.555930
0.020000,4.441794,2.782832,4.614343,0.554966,-1.993494,-0.000000,1.560729
0.020000,4.441878,2.793532,4.625043,0.515096,-1.993494,0.000000,1.565168
0.020000,4.441913,2.803435,4.634947,0.475226,-1.993494,0.000000,1.569251
0.020000,4.441910,2.812541,4.644052,0.435356,-1.993494,0.000000,1.572986
0.020000,4.441878,2.820849,4.652361,0.395486,-1.993494,-0.000000,1.576376
0.020000,4.441825,2.828360,4.659872,0.355616,-1.993494,0.000000,1.579426
0.020000,4.441757,2.835074,4.666585,0.315746,-1.993494,0.000000,1.582142
0.020000,4.441683,2.840989,4.672502,0.275876,-1.993494,-0.000000,1.584526
0.020000,4.441608,2.846107,4.677621,0.236007,-1.993494,0.000000,1.586582
0.020000,4.441536,2.850428,4.681942,0.196137,-1.993494,0.000000,1.588313
0.020000,4.441472,2.853952,4.685466,0.156267,-1.993494,-0.000000,1.589721
0.020000,4.441419,2.856678,4.688193,0.116397,-1.993494,0.000000,1.590809
0.020000,4.441379,2.858607,4.690122,0.076527,-1.993494,0.000000,1.591577
0.020000,4.441355,2.859738,4.691254,0.036657,-1.993494,0.000000,1.592027
